CATEGORY_NAME,SUB_CATEGORY_NAME,ATTRIBUTE_NAME,SUB_ATTRIBUTE_NAME,LOWEST_TAXONOMY,HEALTH_INTEREST,REC_COUNT,SHARE_WITHIN_LOWEST_TAXONOMY,SHARE_WITHIN_HEALTH_INTEREST
Nutritional supplements,Collagen & protein,Whey & animal protein,Other animal proteins,Other animal proteins,General fatigue,4,0.1212121212,0.002259887006
Nutritional supplements,Enzymes,Digestive enzymes,Other digestive enzymes,Other digestive enzymes,General fatigue,4,0.001877053027,0.002259887006
Nutritional supplements,Other metabolites & bioactive compounds,PQQ,,PQQ,General fatigue,4,0.3076923077,0.002259887006
Nutritional supplements,Other metabolites & bioactive compounds,Phosphatidylserine,,Phosphatidylserine,General fatigue,4,0.02051282051,0.002259887006
Nutritional supplements,Amino acids,Base amino acids,BCAAs,BCAAs,General fatigue,3,0.07894736842,0.001694915254
Conditions & formulations,Neurocognitive health & sleep,Cognitive support,,Cognitive support,General fatigue,3,0.008875739645,0.001694915254
Nutritional supplements,Amino acids,Amino compounds,GABA,GABA,General fatigue,3,0.005272407733,0.001694915254
Herbal/Botanicals,Phytonutrients,Indoles & sulphoraphane,,Indoles & sulphoraphane,General fatigue,3,0.008,0.001694915254
Nutritional supplements,Amino acids,Base amino acids,L-glutamine,L-glutamine,General fatigue,3,0.008021390374,0.001694915254
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,MCTs,MCTs,General fatigue,3,0.0447761194,0.001694915254
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,Monolaurin,Monolaurin,General fatigue,3,0.05,0.001694915254
Conditions & formulations,Neurocognitive health & sleep,Mood support,,Mood support,General fatigue,3,0.01863354037,0.001694915254
Nutritional supplements,Other metabolites & bioactive compounds,NAD/NADH/ATP,NADH,NADH,General fatigue,3,0.3,0.001694915254
Herbal/Botanicals,Herbs,Oregano,,Oregano,General fatigue,3,0.01234567901,0.001694915254
Herbal/Botanicals,Phytonutrients,Flavonoids,Other flavonoids,Other flavonoids,General fatigue,3,0.01898734177,0.001694915254
Vitamins & minerals,Multivitamins & minerals,Prenatal vitamins,,Prenatal vitamins,General fatigue,3,0.004273504274,0.001694915254
Conditions & formulations,Endocrine & hormonal health,Testosterone support,,Testosterone support,General fatigue,3,0.02272727273,0.001694915254
Nutritional supplements,Probiotics,Women's probiotics,,Women's probiotics,General fatigue,3,0.006451612903,0.001694915254
Nutritional supplements,Other metabolites & bioactive compounds,d-Ribose,,d-Ribose,General fatigue,3,0.2142857143,0.001694915254
Nutritional supplements,Amino acids,Base amino acids,5-HTP,5-HTP,General fatigue,2,0.01162790698,0.001129943503
Homeopathy,Homeopathic remedies,Adrenal support (Homeopathic),,Adrenal support (Homeopathic),General fatigue,2,0.06451612903,0.001129943503
Nutritional supplements,Probiotics,Akkermansia,Akkermansia (single-strain),Akkermansia (single-strain),General fatigue,2,0.01129943503,0.001129943503
Nutritional supplements,Other metabolites & bioactive compounds,Alpha-GPC,,Alpha-GPC,General fatigue,2,0.2222222222,0.001129943503
Herbal/Botanicals,Phytonutrients,Flavonoids,Anthocyanins,Anthocyanins,General fatigue,2,0.009803921569,0.001129943503
Herbal/Botanicals,Herbs,Astragalus,,Astragalus,General fatigue,2,0.06666666667,0.001129943503
Nutritional supplements,Probiotics,Bacillus (Spore-based),Bacillus blends,Bacillus blends,General fatigue,2,0.003683241252,0.001129943503
Conditions & formulations,Neurocognitive health & sleep,Calming support,,Calming support,General fatigue,2,0.002954209749,0.001129943503
Conditions & formulations,Cardiometabolic health,Cardiovascular support,,Cardiovascular support,General fatigue,2,0.009009009009,0.001129943503
Conditions & formulations,Gastrointestinal health,Digestive support,,Digestive support,General fatigue,2,0.006369426752,0.001129943503
Conditions & formulations,Musculoskeletal health & sport/exercise,Exercise & recovery support,,Exercise & recovery support,General fatigue,2,0.0350877193,0.001129943503
Conditions & formulations,"Eye, ear, nose, & throat health",Eye support,,Eye support,General fatigue,2,0.01226993865,0.001129943503
Homeopathy,Homeopathic remedies,Homeopathic combinations,,Homeopathic combinations,General fatigue,2,0.02985074627,0.001129943503
Vitamins & minerals,Vitamins,Vitamin B9 (Folate),L-5-MTHF (L-methylfolate),L-5-MTHF (L-methylfolate),General fatigue,2,0.008695652174,0.001129943503
Vitamins & minerals,Minerals,Magnesium,Magnesium citrate,Magnesium citrate,General fatigue,2,0.002197802198,0.001129943503
Vitamins & minerals,Minerals,Magnesium,Magnesium threonate,Magnesium threonate,General fatigue,2,0.003372681282,0.001129943503
Nutritional supplements,Other metabolites & bioactive compounds,Medical Foods,,Medical Foods,General fatigue,2,0.008928571429,0.001129943503
Nutritional supplements,Hormones & glandulars,Melatonin,,Melatonin,General fatigue,2,0.003558718861,0.001129943503
Conditions & formulations,Gastrointestinal health,Microbial support,,Microbial support,General fatigue,2,0.001452432825,0.001129943503
Herbal/Botanicals,Herbs,Mucuna (L-dopa),,Mucuna (L-dopa),General fatigue,2,0.07692307692,0.001129943503
Nutritional supplements,Collagen & protein,Collagen,Other collagens,Other collagens,General fatigue,2,0.01219512195,0.001129943503
Nutritional supplements,Prebiotics & fibers,Other prebiotics & fibers,,Other prebiotics & fibers,General fatigue,2,0.003194888179,0.001129943503
Herbal/Botanicals,Mushrooms,Reishi,,Reishi,General fatigue,2,0.05714285714,0.001129943503
Herbal/Botanicals,Phytonutrients,Resveratrol,,Resveratrol,General fatigue,2,0.01526717557,0.001129943503
Nutritional supplements,Collagen & protein,Plant protein,Rice proteins,Rice proteins,General fatigue,2,0.2,0.001129943503
Nutritional supplements,Amino acids,Amino compounds,SAM-e,SAM-e,General fatigue,2,0.0202020202,0.001129943503
Personal care & healthy living,Food & beverage,Seeds-salt-spices,,Seeds-salt-spices,General fatigue,2,0.02564102564,0.001129943503
Vitamins & minerals,Vitamins,Vitamin B2 (Riboflavin),,Vitamin B2 (Riboflavin),General fatigue,2,0.01360544218,0.001129943503
Nutritional supplements,Collagen & protein,Whey & animal protein,Whey isolate,Whey isolate,General fatigue,2,0.03636363636,0.001129943503
Vitamins & minerals,Complexes & combos,ADK/E,,ADK/E,General fatigue,1,0.003144654088,0.0005649717514
Nutritional supplements,Probiotics,Akkermansia,Akkermansia blends,Akkermansia blends,General fatigue,1,0.0125,0.0005649717514
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Algae oil,Algae oil,General fatigue,1,0.009900990099,0.0005649717514
Conditions & formulations,"Antiox, detox, & cellular health",Antioxidant support,,Antioxidant support,General fatigue,1,0.01492537313,0.0005649717514
Herbal/Botanicals,Herbs,Bacopa,,Bacopa,General fatigue,1,0.02702702703,0.0005649717514
Herbal/Botanicals,Herbs,Berberis (Berberine),,Berberis (Berberine),General fatigue,1,0.0003725782414,0.0005649717514
Nutritional supplements,Amino acids,Base amino acids,Beta-alanine,Beta-alanine,General fatigue,1,0.3333333333,0.0005649717514
Nutritional supplements,Amino acids,Amino compounds,Betaine HCl,Betaine HCl,General fatigue,1,0.00462962963,0.0005649717514
Conditions & formulations,Cardiometabolic health,Blood pressure support,,Blood pressure support,General fatigue,1,0.004310344828,0.0005649717514
Personal care & healthy living,Bath & body care,Body treatments,Body repair & renewal,Body repair & renewal,General fatigue,1,0.04166666667,0.0005649717514
Herbal/Botanicals,Herbs,Butterbur (Petasites),,Butterbur (Petasites),General fatigue,1,0.02040816327,0.0005649717514
Vitamins & minerals,Complexes & combos,Calcium & magnesium,,Calcium & magnesium,General fatigue,1,0.008,0.0005649717514
Vitamins & minerals,Minerals,Children's minerals,,Children's minerals,General fatigue,1,0.01960784314,0.0005649717514
Vitamins & minerals,Multivitamins & minerals,Children's multivitamins,Children's multis,Children's multis,General fatigue,1,0.03846153846,0.0005649717514
Vitamins & minerals,Multivitamins & minerals,Children's multivitamins,Children's multis+,Children's multis+,General fatigue,1,0.02380952381,0.0005649717514
Conditions & formulations,Children's health,Children's sleep & calming support,,Children's sleep & calming support,General fatigue,1,0.02040816327,0.0005649717514
Vitamins & minerals,Vitamins,Children's vitamins,,Children's vitamins,General fatigue,1,0.02564102564,0.0005649717514
Nutritional supplements,Other metabolites & bioactive compounds,Choline,,Choline,General fatigue,1,0.01538461538,0.0005649717514
Herbal/Botanicals,Herbs,Cinnamon,,Cinnamon,General fatigue,1,0.02083333333,0.0005649717514
Nutritional supplements,Omegas & other fatty acids,Fish oil,Cod liver oil,Cod liver oil,General fatigue,1,0.006622516556,0.0005649717514
Herbal/Botanicals,Herbs,Cohosh,,Cohosh,General fatigue,1,0.0125,0.0005649717514
Nutritional supplements,Amino acids,Peptides,Colostrum & immunoglobulins,Colostrum & immunoglobulins,General fatigue,1,0.002141327623,0.0005649717514
Homeopathy,Homeopathic remedies,Detox support (Homeopathic),,Detox support (Homeopathic),General fatigue,1,0.03846153846,0.0005649717514
Herbal/Botanicals,Herbs,Elderberry,,Elderberry,General fatigue,1,0.04347826087,0.0005649717514
Personal care & healthy living,Household essentials,Essential oils,,Essential oils,General fatigue,1,0.01851851852,0.0005649717514
Herbal/Botanicals,Herbs,Fenugreek,,Fenugreek,General fatigue,1,0.04545454545,0.0005649717514
Homeopathy,Homeopathic remedies,Flower essences,,Flower essences,General fatigue,1,0.06666666667,0.0005649717514
Conditions & formulations,Gastrointestinal health,GI lining support,,GI lining support,General fatigue,1,0.0009233610342,0.0005649717514
Conditions & formulations,Cardiometabolic health,Weight management support,GLP-1 nutrient support,GLP-1 nutrient support,General fatigue,1,0.004854368932,0.0005649717514
Herbal/Botanicals,Phytonutrients,Flavonoids,Green tea catechins,Green tea catechins,General fatigue,1,0.01785714286,0.0005649717514
Nutritional supplements,Prebiotics & fibers,Guar gum,,Guar gum,General fatigue,1,0.002793296089,0.0005649717514
Conditions & formulations,Cardiometabolic health,Weight management support,Healthy weight support,Healthy weight support,General fatigue,1,0.005681818182,0.0005649717514
Vitamins & minerals,Vitamins,Vitamin B12 (Cobalamin),Hydroxocobalamin,Hydroxocobalamin,General fatigue,1,0.07142857143,0.0005649717514
Vitamins & minerals,Minerals,Iodine,Kelp/Seaweed iodides,Kelp/Seaweed iodides,General fatigue,1,0.03571428571,0.0005649717514
Nutritional supplements,Probiotics,Lacto-bifidobacteria,Lacto-bifidobacteria (single-strain),Lacto-bifidobacteria (single-strain),General fatigue,1,0.006024096386,0.0005649717514
Herbal/Botanicals,Mushrooms,Lion's mane,,Lion's mane,General fatigue,1,0.01075268817,0.0005649717514
Conditions & formulations,Cardiometabolic health,Lipid support,,Lipid support,General fatigue,1,0.002994011976,0.0005649717514
Homeopathy,Homeopathic remedies,Men's health (Homeopathic),,Men's health (Homeopathic),General fatigue,1,0.5,0.0005649717514
Herbal/Botanicals,Herbs,Milk thistle,,Milk thistle,General fatigue,1,0.00462962963,0.0005649717514
Vitamins & minerals,Minerals,Other minerals,Molybdenum,Molybdenum,General fatigue,1,0.1111111111,0.0005649717514
Conditions & formulations,Gastrointestinal health,Motility support,,Motility support,General fatigue,1,0.001464128843,0.0005649717514
Nutritional supplements,Other metabolites & bioactive compounds,Inositol,Myo-inositol,Myo-inositol,General fatigue,1,0.001886792453,0.0005649717514
Herbal/Botanicals,Phytonutrients,Greens & superfoods,Other greens & superfoods,Other greens & superfoods,General fatigue,1,0.005882352941,0.0005649717514
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Other plant omegas,Other plant omegas,General fatigue,1,0.01724137931,0.0005649717514
Nutritional supplements,Collagen & protein,Plant protein,Other plant proteins,Other plant proteins,General fatigue,1,0.01754385965,0.0005649717514
Vitamins & minerals,Vitamins,Vitamin B5 (Pantothenic acid),Pantothenate/Pantothenic acid,Pantothenate/Pantothenic acid,General fatigue,1,0.03333333333,0.0005649717514
Vitamins & minerals,Vitamins,Vitamin B6 (Pyridoxine),Pyridoxal 5'-phosphate (P5P),Pyridoxal 5'-phosphate (P5P),General fatigue,1,0.008474576271,0.0005649717514
Herbal/Botanicals,Herbs,Red yeast rice,,Red yeast rice,General fatigue,1,0.001424501425,0.0005649717514
Herbal/Botanicals,Herbs,Saffron,,Saffron,General fatigue,1,0.006024096386,0.0005649717514
Conditions & formulations,Immune & inflammatory health,Seasonal support,,Seasonal support,General fatigue,1,0.002638522427,0.0005649717514
Nutritional supplements,Amino acids,Base amino acids,Taurine,Taurine,General fatigue,1,0.01,0.0005649717514
Nutritional supplements,Hormones & glandulars,Glandulars,Thyroid glandulars,Thyroid glandulars,General fatigue,1,0.009708737864,0.0005649717514
Vitamins & minerals,Vitamins,Vitamin E,Tocopherols,Tocopherols,General fatigue,1,0.009090909091,0.0005649717514
Herbal/Botanicals,Herbs,Tongkat ali,,Tongkat ali,General fatigue,1,0.02941176471,0.0005649717514
Herbal/Botanicals,Herbs,Tribulus,,Tribulus,General fatigue,1,0.07142857143,0.0005649717514
Vitamins & minerals,Vitamins,Vitamin D,Vitamin D2 (Ergocalciferol),Vitamin D2 (Ergocalciferol),General fatigue,1,0.1666666667,0.0005649717514
Nutritional supplements,Collagen & protein,Whey & animal protein,Whey concentrate,Whey concentrate,General fatigue,1,0.05555555556,0.0005649717514
Conditions & formulations,Women's health,Women's fertility support,,Women's fertility support,General fatigue,1,0.005464480874,0.0005649717514
Vitamins & minerals,Minerals,Zinc,Zinc bisglycinate,Zinc bisglycinate,General fatigue,1,0.003802281369,0.0005649717514
Vitamins & minerals,Minerals,Zinc,Zinc methionate,Zinc methionate,General fatigue,1,0.1428571429,0.0005649717514
Nutritional supplements,Omegas & other fatty acids,Fish oil,Balanced EPA/DHA,Balanced EPA/DHA,General inflammation,731,0.2771038666,0.1750898204
Nutritional supplements,Omegas & other fatty acids,Fish oil,EPA-dominant,EPA-dominant,General inflammation,365,0.2792654935,0.0874251497
Conditions & formulations,Immune & inflammatory health,Inflammation support,,Inflammation support,General inflammation,229,0.3948275862,0.0548502994
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Standard turmeric/curcumin,Standard turmeric/curcumin,General inflammation,229,0.5228310502,0.0548502994
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Meriva,Meriva,General inflammation,212,0.4930232558,0.05077844311
Nutritional supplements,Omegas & other fatty acids,Fish oil,SPM,SPM,General inflammation,140,0.534351145,0.03353293413
Nutritional supplements,Amino acids,Amino compounds,N-acetyl-cysteine (NAC),N-acetyl-cysteine (NAC),General inflammation,92,0.09633507853,0.02203592814
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Curcumin C3,Curcumin C3,General inflammation,86,0.4831460674,0.0205988024
Vitamins & minerals,Vitamins,Vitamin C,Ascorbic acid,Ascorbic acid,General inflammation,71,0.1207482993,0.01700598802
Nutritional supplements,Amino acids,Peptides,Glutathione,Glutathione,General inflammation,71,0.2184615385,0.01700598802
Nutritional supplements,Probiotics,Lacto-bifidobacteria,Lacto-bifidobacteria blends,Lacto-bifidobacteria blends,General inflammation,70,0.04837595024,0.01676646707
Vitamins & minerals,Minerals,Magnesium,Magnesium glycinate,Magnesium glycinate,General inflammation,68,0.01721518987,0.01628742515
Conditions & formulations,Neurocognitive health & sleep,Cognitive support,,Cognitive support,General inflammation,58,0.1715976331,0.01389221557
Nutritional supplements,Amino acids,Peptides,Other peptides,Other peptides,General inflammation,57,0.153638814,0.01365269461
Vitamins & minerals,Complexes & combos,Vitamin D & K,,Vitamin D & K,General inflammation,56,0.009749303621,0.01341317365
Vitamins & minerals,Complexes & combos,B-complexes,,B-complexes,General inflammation,50,0.01703577513,0.0119760479
Conditions & formulations,Gastrointestinal health,GI lining support,,GI lining support,General inflammation,47,0.04339796861,0.01125748503
Herbal/Botanicals,Phytonutrients,Resveratrol,,Resveratrol,General inflammation,46,0.3511450382,0.01101796407
Herbal/Botanicals,Herbs,Boswellia (Indian frankincense),,Boswellia (Indian frankincense),General inflammation,43,0.2388888889,0.0102994012
Herbal/Botanicals,Phytonutrients,Flavonoids,Quercetin,Quercetin,General inflammation,43,0.1769547325,0.0102994012
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Theracurmin,Theracurmin,General inflammation,43,0.5810810811,0.0102994012
Vitamins & minerals,Multivitamins & minerals,Multivitamins,,Multivitamins,General inflammation,42,0.03853211009,0.01005988024
Nutritional supplements,Omegas & other fatty acids,Fish oil,Cod liver oil,Cod liver oil,General inflammation,40,0.2649006623,0.009580838323
Nutritional supplements,Omegas & other fatty acids,Fish oil,DHA-dominant,DHA-dominant,General inflammation,38,0.1532258065,0.009101796407
Nutritional supplements,Other metabolites & bioactive compounds,CoQ10,,CoQ10,General inflammation,36,0.048,0.008622754491
Conditions & formulations,"Antiox, detox, & cellular health",Detox support,,Detox support,General inflammation,35,0.06986027944,0.008383233533
Vitamins & minerals,Vitamins,Vitamin C,Buffered C (Ascorbates),Buffered C (Ascorbates),General inflammation,34,0.08292682927,0.008143712575
Conditions & formulations,"Eye, ear, nose, & throat health",Eye support,,Eye support,General inflammation,34,0.2085889571,0.008143712575
Nutritional supplements,Enzymes,Systemic enzymes,Other systemic enzymes,Other systemic enzymes,General inflammation,33,0.2869565217,0.007904191617
Vitamins & minerals,Minerals,Zinc,Zinc picolinate,Zinc picolinate,General inflammation,31,0.0685840708,0.007425149701
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Algae oil,Algae oil,General inflammation,29,0.2871287129,0.006946107784
Nutritional supplements,Amino acids,Peptides,Colostrum & immunoglobulins,Colostrum & immunoglobulins,General inflammation,29,0.06209850107,0.006946107784
Herbal/Botanicals,Phytonutrients,Flavonoids,Other flavonoids,Other flavonoids,General inflammation,27,0.1708860759,0.006467065868
Nutritional supplements,Amino acids,Base amino acids,L-glutamine,L-glutamine,General inflammation,26,0.06951871658,0.00622754491
Nutritional supplements,Probiotics,Bacillus (Spore-based),Bacillus blends,Bacillus blends,General inflammation,25,0.04604051565,0.005988023952
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Black seed (cumin) oil,Black seed (cumin) oil,General inflammation,24,0.1764705882,0.005748502994
Conditions & formulations,Musculoskeletal health & sport/exercise,Joint support,,Joint support,General inflammation,24,0.07100591716,0.005748502994
Herbal/Botanicals,Herbs,Turmeric (Curcumin),BCM-95,BCM-95,General inflammation,23,0.5,0.005508982036
Vitamins & minerals,Minerals,Copper,Copper glycinate,Copper glycinate,General inflammation,23,0.3382352941,0.005508982036
Conditions & formulations,Cardiometabolic health,Lipid support,,Lipid support,General inflammation,23,0.06886227545,0.005508982036
Nutritional supplements,Other metabolites & bioactive compounds,PEA,,PEA,General inflammation,19,0.1532258065,0.004550898204
Nutritional supplements,Enzymes,Digestive enzymes,Other digestive enzymes,Other digestive enzymes,General inflammation,18,0.00844673862,0.004311377246
Nutritional supplements,Other metabolites & bioactive compounds,Alpha lipoic acid (ALA),,Alpha lipoic acid (ALA),General inflammation,17,0.04197530864,0.004071856287
Nutritional supplements,Omegas & other fatty acids,Children's omegas,,Children's omegas,General inflammation,17,0.1734693878,0.004071856287
Vitamins & minerals,Vitamins,Vitamin D,Vitamin D3 (Cholecalciferol),Vitamin D3 (Cholecalciferol),General inflammation,17,0.01127320955,0.004071856287
Conditions & formulations,Immune & inflammatory health,Seasonal support,,Seasonal support,General inflammation,16,0.04221635884,0.003832335329
Herbal/Botanicals,Herbs,Berberis (Berberine),,Berberis (Berberine),General inflammation,13,0.004843517139,0.003113772455
Conditions & formulations,Musculoskeletal health & sport/exercise,Bone support,,Bone support,General inflammation,13,0.02163061564,0.003113772455
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,Butyrate,Butyrate,General inflammation,13,0.08496732026,0.003113772455
Homeopathy,Homeopathic remedies,Homeopathic singles,,Homeopathic singles,General inflammation,13,0.03170731707,0.003113772455
Personal care & healthy living,Bath & body care,Massage / Topical oils,,Massage / Topical oils,General inflammation,13,0.1494252874,0.003113772455
Nutritional supplements,Other metabolites & bioactive compounds,Medical Foods,,Medical Foods,General inflammation,13,0.05803571429,0.003113772455
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,Omega 3-6-9 ,Omega 3-6-9 ,General inflammation,13,0.1625,0.003113772455
Herbal/Botanicals,Phytonutrients,Flavonoids,Anthocyanins,Anthocyanins,General inflammation,12,0.05882352941,0.002874251497
Herbal/Botanicals,Mushrooms,Cordyceps,,Cordyceps,General inflammation,12,0.3,0.002874251497
Vitamins & minerals,Minerals,Magnesium,Other magnesium,Other magnesium,General inflammation,12,0.008620689655,0.002874251497
Herbal/Botanicals,Herbs,Ashwagandha (Withania),Standard ashwagandha,Standard ashwagandha,General inflammation,12,0.01801801802,0.002874251497
Vitamins & minerals,Multivitamins & minerals,Women's multivitamins,,Women's multivitamins,General inflammation,12,0.06486486486,0.002874251497
Conditions & formulations,"Antiox, detox, & cellular health",Antioxidant support,,Antioxidant support,General inflammation,11,0.1641791045,0.002634730539
Herbal/Botanicals,Phytonutrients,Flavonoids,Green tea catechins,Green tea catechins,General inflammation,11,0.1964285714,0.002634730539
Nutritional supplements,Enzymes,Digestive enzymes,Bromelain,Bromelain,General inflammation,10,0.2702702703,0.002395209581
Herbal/Botanicals,Phytonutrients,Indoles & sulphoraphane,,Indoles & sulphoraphane,General inflammation,10,0.02666666667,0.002395209581
Conditions & formulations,"Antiox, detox, & cellular health",Mitochondrial support,,Mitochondrial support,General inflammation,10,0.04807692308,0.002395209581
Nutritional supplements,Prebiotics & fibers,Other prebiotics & fibers,,Other prebiotics & fibers,General inflammation,10,0.01597444089,0.002395209581
Nutritional supplements,Probiotics,Akkermansia,Akkermansia (single-strain),Akkermansia (single-strain),General inflammation,9,0.05084745763,0.002155688623
Conditions & formulations,Musculoskeletal health & sport/exercise,Exercise & recovery support,,Exercise & recovery support,General inflammation,9,0.1578947368,0.002155688623
Vitamins & minerals,Multivitamins & minerals,Multiminerals,,Multiminerals,General inflammation,9,0.03543307087,0.002155688623
Animal health,Pet care,Pet omegas,,Pet omegas,General inflammation,9,0.5625,0.002155688623
Conditions & formulations,Immune & inflammatory health,Immune support,,Immune support,General inflammation,8,0.0198019802,0.001916167665
Nutritional supplements,Omegas & other fatty acids,Fish oil,Krill oil,Krill oil,General inflammation,8,0.1951219512,0.001916167665
Herbal/Botanicals,Phytonutrients,Greens & superfoods,Other greens & superfoods,Other greens & superfoods,General inflammation,8,0.04705882353,0.001916167665
Conditions & formulations,Endocrine & hormonal health,Pancreatic support,,Pancreatic support,General inflammation,8,0.08695652174,0.001916167665
Vitamins & minerals,Vitamins,Vitamin E,Tocopherols,Tocopherols,General inflammation,8,0.07272727273,0.001916167665
Conditions & formulations,Traditional formulations,Chinese formulas,,Chinese formulas,General inflammation,7,0.0258302583,0.001676646707
Conditions & formulations,"Antiox, detox, & cellular health",Liver/hepatic support,,Liver/hepatic support,General inflammation,7,0.01328273245,0.001676646707
Nutritional supplements,Other metabolites & bioactive compounds,MSM,,MSM,General inflammation,7,0.1228070175,0.001676646707
Nutritional supplements,Enzymes,Systemic enzymes,Nattokinase,Nattokinase,General inflammation,7,0.056,0.001676646707
Nutritional supplements,Collagen & protein,Collagen,Other collagens,Other collagens,General inflammation,7,0.04268292683,0.001676646707
Nutritional supplements,Other metabolites & bioactive compounds,Phosphatidylcholine,,Phosphatidylcholine,General inflammation,7,0.0421686747,0.001676646707
Vitamins & minerals,Minerals,Selenium,Selenomethionine,Selenomethionine,General inflammation,7,0.02389078498,0.001676646707
Nutritional supplements,Enzymes,Systemic enzymes,Serrapeptase,Serrapeptase,General inflammation,7,0.2258064516,0.001676646707
Vitamins & minerals,Complexes & combos,ADK/E,,ADK/E,General inflammation,6,0.01886792453,0.001437125749
Conditions & formulations,Children's health,Children's growth support,,Children's growth support,General inflammation,6,0.1818181818,0.001437125749
Nutritional supplements,Amino acids,Amino compounds,Creatine,Creatine,General inflammation,6,0.008196721311,0.001437125749
Vitamins & minerals,Minerals,Magnesium,Magnesium malate,Magnesium malate,General inflammation,6,0.05042016807,0.001437125749
Vitamins & minerals,Multivitamins & minerals,Men's multivitamins,,Men's multivitamins,General inflammation,6,0.07407407407,0.001437125749
Nutritional supplements,Other metabolites & bioactive compounds,NAD/NADH/ATP,NMN,NMN,General inflammation,6,0.07894736842,0.001437125749
Nutritional supplements,Amino acids,Amino compounds,Other amino acids,Other amino acids,General inflammation,6,0.01759530792,0.001437125749
Herbal/Botanicals,Herbs,Ginger (Zingiber),,Ginger (Zingiber),General inflammation,5,0.0462962963,0.00119760479
Nutritional supplements,Prebiotics & fibers,Guar gum,,Guar gum,General inflammation,5,0.01396648045,0.00119760479
Nutritional supplements,Prebiotics & fibers,Pectins,,Pectins,General inflammation,5,0.09090909091,0.00119760479
Nutritional supplements,Probiotics,Saccharomyces,,Saccharomyces,General inflammation,5,0.01216545012,0.00119760479
Conditions & formulations,Dermatological health,Skin Support,,Skin Support,General inflammation,5,0.03496503497,0.00119760479
Conditions & formulations,Endocrine & hormonal health,Adrenal support,,Adrenal support,General inflammation,4,0.002751031637,0.0009580838323
Herbal/Botanicals,Phytonutrients,Greens & superfoods,Beetroot,Beetroot,General inflammation,4,0.07142857143,0.0009580838323
Vitamins & minerals,Vitamins,Vitamin B1 (Thiamine),Benfotiamine,Benfotiamine,General inflammation,4,0.04545454545,0.0009580838323
Nutritional supplements,Collagen & protein,Collagen,Bovine collagen,Bovine collagen,General inflammation,4,0.0131147541,0.0009580838323
Conditions & formulations,Gastrointestinal health,Digestive support,,Digestive support,General inflammation,4,0.0127388535,0.0009580838323
Conditions & formulations,Cardiometabolic health,Weight management support,GLP-1 nutrient support,GLP-1 nutrient support,General inflammation,4,0.01941747573,0.0009580838323
Nutritional supplements,Amino acids,Base amino acids,Glycine,Glycine,General inflammation,4,0.02325581395,0.0009580838323
Homeopathy,Homeopathic remedies,Immune support (Homeopathic),,Immune support (Homeopathic),General inflammation,4,0.1052631579,0.0009580838323
Vitamins & minerals,Vitamins,Vitamin B9 (Folate),L-5-MTHF (L-methylfolate),L-5-MTHF (L-methylfolate),General inflammation,4,0.01739130435,0.0009580838323
Vitamins & minerals,Minerals,Magnesium,Magnesium threonate,Magnesium threonate,General inflammation,4,0.006745362563,0.0009580838323
Herbal/Botanicals,Herbs,Oregano,,Oregano,General inflammation,4,0.01646090535,0.0009580838323
Herbal/Botanicals,Mushrooms,Other mushrooms,,Other mushrooms,General inflammation,4,0.03669724771,0.0009580838323
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Other plant omegas,Other plant omegas,General inflammation,4,0.06896551724,0.0009580838323
Vitamins & minerals,Vitamins,Vitamin E,Other vitamin E,Other vitamin E,General inflammation,4,0.2,0.0009580838323
Conditions & formulations,Immune & inflammatory health,Respiratory support,,Respiratory support,General inflammation,4,0.04761904762,0.0009580838323
Conditions & formulations,Neurocognitive health & sleep,Stress support,,Stress support,General inflammation,4,0.003868471954,0.0009580838323
Nutritional supplements,Probiotics,Women's probiotics,,Women's probiotics,General inflammation,4,0.008602150538,0.0009580838323
Vitamins & minerals,Minerals,Zinc,Zinc carnosine,Zinc carnosine,General inflammation,4,0.02469135802,0.0009580838323
Herbal/Botanicals,Phytonutrients,Greens & superfoods,Aloe,Aloe,General inflammation,3,0.01675977654,0.0007185628743
Vitamins & minerals,Minerals,Boron,,Boron,General inflammation,3,0.03191489362,0.0007185628743
Conditions & formulations,Cardiometabolic health,Cardiovascular support,,Cardiovascular support,General inflammation,3,0.01351351351,0.0007185628743
Nutritional supplements,Other metabolites & bioactive compounds,Charcoal,,Charcoal,General inflammation,3,0.05357142857,0.0007185628743
Personal care & healthy living,Food & beverage,Drink mixes & beverages,,Drink mixes & beverages,General inflammation,3,0.3,0.0007185628743
Conditions & formulations,Endocrine & hormonal health,Hormone balance support,,Hormone balance support,General inflammation,3,0.01449275362,0.0007185628743
Nutritional supplements,Hormones & glandulars,Melatonin,,Melatonin,General inflammation,3,0.005338078292,0.0007185628743
